Hit	E-Value	Contig	PROKKA Annotation
wzy_222_AB812027_O68	6.73893e-09	HGGFENPE_01173	hypothetical protein
wzy_222_AB812027_O68	1.85666e-08	HGGFENPE_02047	hypothetical protein
fliC_52_AJ605764_H4	0.0	HGGFENPE_02308	Flagellin 2
wzx_103_KB021482_O104	0.0	HGGFENPE_02454	hypothetical protein
wzy_84_AF361371_O104	0.0	HGGFENPE_02456	Transmembrane protein EpsG
